"Timestamp","Czy masz ukończone 18 lat?","1. Obecna sytuacja bezpieczeństwa w regionie zwiększa ryzyko zagrożenia militarnego dla Polski.","2. W najbliższych latach Polska powinna zwiększyć wydatki na obronność.","3. Nawet kosztem innych wydatków publicznych obronność powinna być jednym z priorytetów budżetu państwa.","Załóżmy, że państwo chce zwiększyć wydatki na obronność, ale bez podnoszenia łącznych wydatków budżetu.
Oznacza to, że większe wydatki na obronność musiałyby zostać sfinansowane przez mniejsze wydatki w innych obszarach.
Na ile akceptowalne jest dla Ciebie zmniejszenie wydatków w poniższych obszarach? [Kultura (w tym sport)]","Załóżmy, że państwo chce zwiększyć wydatki na obronność, ale bez podnoszenia łącznych wydatków budżetu.
Oznacza to, że większe wydatki na obronność musiałyby zostać sfinansowane przez mniejsze wydatki w innych obszarach.
Na ile akceptowalne jest dla Ciebie zmniejszenie wydatków w poniższych obszarach? [Administracja publiczna]","Załóżmy, że państwo chce zwiększyć wydatki na obronność, ale bez podnoszenia łącznych wydatków budżetu.
Oznacza to, że większe wydatki na obronność musiałyby zostać sfinansowane przez mniejsze wydatki w innych obszarach.
Na ile akceptowalne jest dla Ciebie zmniejszenie wydatków w poniższych obszarach? [Inwestycje publiczne]","Załóżmy, że państwo chce zwiększyć wydatki na obronność, ale bez podnoszenia łącznych wydatków budżetu.
Oznacza to, że większe wydatki na obronność musiałyby zostać sfinansowane przez mniejsze wydatki w innych obszarach.
Na ile akceptowalne jest dla Ciebie zmniejszenie wydatków w poniższych obszarach? [Transfery społeczne]","8. Przy decyzjach budżetowych ważne jest znalezienie kompromisu między bezpieczeństwem a innymi potrzebami społecznymi.","9. Podwyższenie podatków (czyli płacilibyśmy więcej podatków niż obecnie) w celu sfinansowania większych wydatków na obronność jest dla mnie akceptowalne.","10. Zaciągnięcie dodatkowego długu publicznego (pożyczenie pieniędzy przez państwo) w celu sfinansowania większych wydatków na obronność jest dla mnie akceptowalne.","11. Jeśli trzeba wybrać, wolę finansowanie zwiększonych wydatków na obronność przez…","12. Państwo powinno ograniczać wydatki, aby unikać zadłużania się.","13. To pytanie ma charakter techniczny i służy sprawdzeniu uważnego wypełniania ankiety. Aby kontynuować, zaznacz odpowiedź „Raczej się zgadzam”.","14. Wzrost cen w ostatnich latach był dla mnie dużym obciążeniem finansowym.","15. W jakim stopniu wzrost cen wynika z czynników zewnętrznych (np. ceny energii, sytuacja międzynarodowa)?","16. W jakim stopniu wzrost cen wynika z polityki cenowej firm (np. podwyżki cen, marże)? ","17. W jakim stopniu wypłacanie świadczeń i dodatków przyczynia się do wzrostu cen? ","18. Ograniczanie wydatków publicznych może pomóc w spowolnieniu inflacji.","19. Poparł(a)bym ograniczenie części transferów socjalnych, jeśli miałoby to spowolnić wzrost cen.","20. Gdy łączna korzyść finansowa jest podobna, wolę jednorazowy przelew od państwa niż stopniowe korzyści wynikające z niższych podatków.","21. Jednorazowe bony/przelewy są dla mnie bardziej zrozumiałe niż ogólne obniżki podatków.","22. Wolę wsparcie, które odczuwam od razu, niż takie, którego efekty pojawiają się stopniowo w dłuższym czasie.","23. Instytucje publiczne nie są wystarczająco przejrzyste w informowaniu o tym, na co wydawane są pieniądze z budżetu państwa.","24. Informacje o wydatkach publicznych są łatwo dostępne publicznie w internecie.","25. Gdybym chciał(a) sprawdzić, na co idą pieniądze z budżetu państwa, potrafił(a)bym znaleźć wiarygodne, oficjalne źródła.","26. Uważam, że mam podstawową wiedzę o tym, jak działa budżet państwa.","27. Gdybym znalazł(a) dane o wydatkach budżetu, potrafił(a)bym ocenić, czy źródło jest rzetelne. ","1. Płeć:","2. Wiek:","3. Wykształcenie:","4. Miejsce zamieszkania:","5. Status zawodowy (główna sytuacja):","6. W ostatnich 12 miesiącach: czy od Twoich dochodów z pracy/umów/działalności były pobierane zaliczki na podatek dochodowy (PIT)?","7. Czy możesz głosować w wyborach ogólnokrajowych w Polsce (np. do Sejmu lub na Prezydenta RP)?"
"2025/12/26 9:09:26 PM GMT+1","Tak","Raczej się zgadzam","Ani tak, ani nie","Raczej się zgadzam","4","2","2","3","Zdecydowanie się zgadzam","Raczej się nie zgadzam","Raczej się nie zgadzam","Raczej się zgadzam","Raczej się zgadzam","Raczej się zgadzam","Raczej się zgadzam","W umiarkowanym stopniu","W dużym stopniu","W małym stopniu","Ani tak, ani nie","Raczej się zgadzam","Raczej się zgadzam","Ani tak, ani nie","Raczej się zgadzam","Raczej się zgadzam","Raczej się zgadzam","Raczej się zgadzam","Ani tak, ani nie","Raczej się zgadzam","Kobieta","18–24","Średnie (liceum / technikum)","Miasto 500 000 i więcej mieszkańców (np. Warszawa)","Pracujący/a (etat, umowy, własna działalność)","Nie, ulga „PIT 0” (do 26 lat)","Tak"
"2025/12/27 11:35:01 AM GMT+1","Tak","Ani tak, ani nie","Raczej się zgadzam","Raczej się zgadzam","4","5","5","3","Raczej się zgadzam","Raczej się zgadzam","Raczej się zgadzam","Raczej wolę podwyżki podatków","Zdecydowanie się zgadzam","Raczej się zgadzam","Raczej się zgadzam","W dużym stopniu","W dużym stopniu","W umiarkowanym stopniu","Raczej się zgadzam","Ani tak, ani nie","Zdecydowanie się nie zgadzam","Zdecydowanie się nie zgadzam","Zdecydowanie się nie zgadzam","Raczej się nie zgadzam","Raczej się zgadzam","Raczej się zgadzam","Ani tak, ani nie","Raczej się nie zgadzam","Mężczyzna","18–24","Wyższe (licencjat / inżynier / magister)","Miasto 500 000 i więcej mieszkańców (np. Warszawa)","Uczeń / Student","Wolę nie odpowiadać","Tak"
"2025/12/27 11:43:23 AM GMT+1","Tak","Raczej się zgadzam","Raczej się zgadzam","Raczej się zgadzam","5","2","2","3","Zdecydowanie się zgadzam","Raczej się zgadzam","Raczej się nie zgadzam","Raczej wolę podwyżki podatków","Ani tak, ani nie","Raczej się zgadzam","Zdecydowanie się zgadzam","W bardzo dużym stopniu","W dużym stopniu","W małym stopniu","Zdecydowanie się nie zgadzam","Zdecydowanie się nie zgadzam","Ani tak, ani nie","Ani tak, ani nie","Raczej się nie zgadzam","Raczej się nie zgadzam","Raczej się zgadzam","Raczej się zgadzam","Ani tak, ani nie","Raczej się zgadzam","Mężczyzna","18–24","Średnie (liceum / technikum)","Miasto 500 000 i więcej mieszkańców (np. Warszawa)","Uczeń / Student","Nie, dochody nie podlegały zaliczkom (np. niektóre umowy/źródła)","Tak"
"2025/12/27 1:44:09 PM GMT+1","Tak","Raczej się zgadzam","Raczej się zgadzam","Raczej się nie zgadzam","5","3","3","2","Zdecydowanie się zgadzam","Raczej się nie zgadzam","Raczej się nie zgadzam","Zdecydowanie wolę dług publiczny","Raczej się zgadzam","Raczej się zgadzam","Ani tak, ani nie","W umiarkowanym stopniu","W małym stopniu","W małym stopniu","Ani tak, ani nie","Zdecydowanie się zgadzam","Raczej się nie zgadzam","Zdecydowanie się nie zgadzam","Ani tak, ani nie","Raczej się zgadzam","Ani tak, ani nie","Raczej się nie zgadzam","Raczej się zgadzam","Raczej się zgadzam","Mężczyzna","18–24","","Miasto 500 000 i więcej mieszkańców (np. Warszawa)","Uczeń / Student","Wolę nie odpowiadać","Nie"
"2025/12/27 2:01:26 PM GMT+1","Tak","Raczej się zgadzam","Raczej się nie zgadzam","Raczej się nie zgadzam","2","2","1","3","Zdecydowanie się zgadzam","Raczej się nie zgadzam","Zdecydowanie się nie zgadzam","Raczej wolę podwyżki podatków","Raczej się zgadzam","Raczej się zgadzam","Ani tak, ani nie","W umiarkowanym stopniu","W małym stopniu","W umiarkowanym stopniu","Zdecydowanie się zgadzam","Raczej się zgadzam","Raczej się nie zgadzam","Zdecydowanie się nie zgadzam","Raczej się nie zgadzam","Raczej się nie zgadzam","Raczej się zgadzam","Zdecydowanie się zgadzam","Raczej się zgadzam","Zdecydowanie się zgadzam","Mężczyzna","18–24","Średnie (liceum / technikum)","Miasto 500 000 i więcej mieszkańców (np. Warszawa)","Uczeń / Student","Nie, ulga „PIT 0” (do 26 lat)","Tak"
"2025/12/27 2:11:44 PM GMT+1","Tak","Raczej się zgadzam","Zdecydowanie się zgadzam","Zdecydowanie się zgadzam","5","3","4","3","Raczej się zgadzam","Ani tak, ani nie","Raczej się nie zgadzam","Raczej wolę podwyżki podatków","Ani tak, ani nie","Raczej się zgadzam","Zdecydowanie się nie zgadzam","W dużym stopniu","W umiarkowanym stopniu","W umiarkowanym stopniu","Raczej się nie zgadzam","Zdecydowanie się zgadzam","Raczej się nie zgadzam","Raczej się nie zgadzam","Raczej się nie zgadzam","Zdecydowanie się zgadzam","Raczej się nie zgadzam","Zdecydowanie się nie zgadzam","Raczej się zgadzam","Ani tak, ani nie","Mężczyzna","18–24","Średnie (liceum / technikum)","Miasto do 19 999 mieszkańców","Uczeń / Student","Nie dotyczy (brak takich dochodów)","Tak"
"2025/12/27 5:30:49 PM GMT+1","Tak","Raczej się zgadzam","Ani tak, ani nie","Zdecydowanie się nie zgadzam","1","1","1","1","Raczej się zgadzam","Zdecydowanie się nie zgadzam","Zdecydowanie się nie zgadzam","Raczej wolę dług publiczny","Ani tak, ani nie","Raczej się zgadzam","Ani tak, ani nie","W bardzo dużym stopniu","W umiarkowanym stopniu","W umiarkowanym stopniu","Ani tak, ani nie","Zdecydowanie się nie zgadzam","Zdecydowanie się nie zgadzam","Zdecydowanie się zgadzam","Zdecydowanie się nie zgadzam","Ani tak, ani nie","Raczej się zgadzam","Zdecydowanie się zgadzam","Zdecydowanie się zgadzam","Ani tak, ani nie","Mężczyzna","18–24","Średnie (liceum / technikum)","Miasto 500 000 i więcej mieszkańców (np. Warszawa)","Uczeń / Student","Nie, niskie dochody (kwota wolna / brak zaliczek)","Tak"
"2025/12/27 7:34:43 PM GMT+1","Tak","Zdecydowanie się zgadzam","Zdecydowanie się zgadzam","Zdecydowanie się zgadzam","5","3","3","4","Ani tak, ani nie","Raczej się zgadzam","Raczej się zgadzam","Raczej wolę podwyżki podatków","Ani tak, ani nie","Raczej się zgadzam","Ani tak, ani nie","W umiarkowanym stopniu","W małym stopniu","W umiarkowanym stopniu","Raczej się nie zgadzam","Raczej się zgadzam","Raczej się zgadzam","Raczej się zgadzam","Ani tak, ani nie","Raczej się zgadzam","Ani tak, ani nie","Raczej się zgadzam","Raczej się zgadzam","Raczej się zgadzam","Mężczyzna","18–24","Średnie (liceum / technikum)","Wieś","Uczeń / Student","Nie, ulga „PIT 0” (do 26 lat)","Tak"
"2025/12/27 7:47:48 PM GMT+1","Tak","Raczej się zgadzam","Zdecydowanie się zgadzam","Raczej się zgadzam","5","2","2","4","Raczej się nie zgadzam","Zdecydowanie się nie zgadzam","Zdecydowanie się nie zgadzam","Trudno powiedzieć / zależy","Zdecydowanie się zgadzam","Raczej się zgadzam","Raczej się zgadzam","W bardzo dużym stopniu","W dużym stopniu","W bardzo dużym stopniu","Raczej się zgadzam","Zdecydowanie się zgadzam","Zdecydowanie się nie zgadzam","Zdecydowanie się nie zgadzam","Zdecydowanie się zgadzam","Raczej się zgadzam","Ani tak, ani nie","Raczej się zgadzam","Zdecydowanie się zgadzam","Zdecydowanie się zgadzam","Mężczyzna","18–24","Średnie (liceum / technikum)","Miasto 500 000 i więcej mieszkańców (np. Warszawa)","Uczeń / Student","Nie, ulga „PIT 0” (do 26 lat)","Tak"
"2025/12/27 7:49:02 PM GMT+1","Tak","Raczej się nie zgadzam","Raczej się zgadzam","Raczej się nie zgadzam","4","2","2","2","Zdecydowanie się zgadzam","Raczej się nie zgadzam","Zdecydowanie się nie zgadzam","Raczej wolę podwyżki podatków","Zdecydowanie się zgadzam","Raczej się zgadzam","Raczej się zgadzam","W dużym stopniu","W dużym stopniu","W małym stopniu","Raczej się zgadzam","Raczej się nie zgadzam","Raczej się nie zgadzam","Raczej się nie zgadzam","Raczej się zgadzam","Raczej się zgadzam","Raczej się zgadzam","Raczej się nie zgadzam","Raczej się zgadzam","Raczej się zgadzam","Mężczyzna","18–24","Średnie (liceum / technikum)","Miasto do 19 999 mieszkańców","Bezrobotny/a","Nie, ulga „PIT 0” (do 26 lat)","Tak"
"2025/12/27 7:55:45 PM GMT+1","Tak","Raczej się zgadzam","Raczej się zgadzam","Raczej się zgadzam","3","2","1","3","Raczej się zgadzam","Raczej się nie zgadzam","Raczej się nie zgadzam","Trudno powiedzieć / zależy","Ani tak, ani nie","Raczej się nie zgadzam","Raczej się zgadzam","W umiarkowanym stopniu","W dużym stopniu","W umiarkowanym stopniu","Ani tak, ani nie","Raczej się zgadzam","Raczej się nie zgadzam","Raczej się nie zgadzam","Ani tak, ani nie","Zdecydowanie się nie zgadzam","Raczej się nie zgadzam","Raczej się zgadzam","Raczej się zgadzam","Raczej się zgadzam","Mężczyzna","18–24","Średnie (liceum / technikum)","Wieś","Uczeń / Student","Nie dotyczy (brak takich dochodów)","Tak"
"2025/12/27 8:16:34 PM GMT+1","Tak","Ani tak, ani nie","Raczej się nie zgadzam","Raczej się nie zgadzam","4","4","3","3","Zdecydowanie się zgadzam","Zdecydowanie się nie zgadzam","Zdecydowanie się nie zgadzam","Trudno powiedzieć / zależy","Zdecydowanie się zgadzam","Raczej się zgadzam","Ani tak, ani nie","W dużym stopniu","W dużym stopniu","W dużym stopniu","Raczej się zgadzam","Raczej się zgadzam","Zdecydowanie się zgadzam","Ani tak, ani nie","Zdecydowanie się zgadzam","Zdecydowanie się zgadzam","Raczej się nie zgadzam","Raczej się nie zgadzam","Raczej się nie zgadzam","Raczej się nie zgadzam","Kobieta","18–24","Wyższe (licencjat / inżynier / magister)","Wieś","Uczeń / Student","Nie, dochody nie podlegały zaliczkom (np. niektóre umowy/źródła)","Tak"
"2025/12/27 8:50:10 PM GMT+1","Tak","Raczej się zgadzam","Raczej się zgadzam","Raczej się zgadzam","3","3","3","5","Raczej się zgadzam","Raczej się zgadzam","Ani tak, ani nie","Trudno powiedzieć / zależy","Ani tak, ani nie","Raczej się zgadzam","Ani tak, ani nie","W dużym stopniu","W małym stopniu","W umiarkowanym stopniu","Raczej się nie zgadzam","Ani tak, ani nie","Zdecydowanie się nie zgadzam","Ani tak, ani nie","Ani tak, ani nie","Raczej się zgadzam","Ani tak, ani nie","Raczej się nie zgadzam","Raczej się nie zgadzam","Raczej się zgadzam","Mężczyzna","35–44","Wyższe (licencjat / inżynier / magister)","Miasto 20 000–99 999 mieszkańców","Pracujący/a (etat, umowy, własna działalność)","Tak, regularnie","Nie"
"2025/12/27 9:25:05 PM GMT+1","Tak","Raczej się zgadzam","Raczej się zgadzam","Raczej się zgadzam","5","5","4","3","Raczej się zgadzam","Raczej się nie zgadzam","Ani tak, ani nie","Raczej wolę dług publiczny","Ani tak, ani nie","Raczej się zgadzam","Raczej się nie zgadzam","W umiarkowanym stopniu","W umiarkowanym stopniu","W dużym stopniu","Ani tak, ani nie","Raczej się nie zgadzam","Raczej się nie zgadzam","Raczej się nie zgadzam","Raczej się zgadzam","Raczej się zgadzam","Raczej się nie zgadzam","Raczej się nie zgadzam","Raczej się nie zgadzam","Raczej się zgadzam","Kobieta","35–44","Wyższe (licencjat / inżynier / magister)","Miasto 20 000–99 999 mieszkańców","Pracujący/a (etat, umowy, własna działalność)","Tak, regularnie","Nie"
"2025/12/27 11:04:47 PM GMT+1","Tak","Raczej się nie zgadzam","Raczej się zgadzam","Ani tak, ani nie","3","3","3","3","Raczej się zgadzam","Zdecydowanie się nie zgadzam","Raczej się nie zgadzam","Raczej wolę dług publiczny","Raczej się zgadzam","Raczej się zgadzam","Raczej się zgadzam","W dużym stopniu","W umiarkowanym stopniu","W małym stopniu","Ani tak, ani nie","Ani tak, ani nie","Zdecydowanie się nie zgadzam","Zdecydowanie się nie zgadzam","Raczej się nie zgadzam","Raczej się zgadzam","Raczej się nie zgadzam","Raczej się nie zgadzam","Raczej się zgadzam","Raczej się nie zgadzam","Kobieta","45–54","Wyższe (licencjat / inżynier / magister)","Wieś","Pracujący/a (etat, umowy, własna działalność)","Tak, regularnie","Tak"
"2025/12/27 11:09:35 PM GMT+1","Tak","Raczej się zgadzam","Zdecydowanie się zgadzam","Raczej się nie zgadzam","4","2","2","3","Raczej się nie zgadzam","Ani tak, ani nie","Raczej się zgadzam","Trudno powiedzieć / zależy","Raczej się nie zgadzam","Raczej się zgadzam","Raczej się zgadzam","W dużym stopniu","W umiarkowanym stopniu","W umiarkowanym stopniu","Ani tak, ani nie","Raczej się zgadzam","Raczej się nie zgadzam","Raczej się nie zgadzam","Raczej się nie zgadzam","Ani tak, ani nie","Raczej się zgadzam","Raczej się zgadzam","Raczej się zgadzam","Ani tak, ani nie","Kobieta","18–24","Podstawowe (lub niższe) / gimnazjalne","Wieś","Uczeń / Student","Nie, ulga „PIT 0” (do 26 lat)","Tak"
"2025/12/28 12:44:49 AM GMT+1","Tak","Ani tak, ani nie","Raczej się zgadzam","Raczej się zgadzam","5","3","3","3","Raczej się zgadzam","Zdecydowanie się nie zgadzam","Zdecydowanie się nie zgadzam","Raczej wolę dług publiczny","Raczej się zgadzam","Raczej się zgadzam","Zdecydowanie się zgadzam","W dużym stopniu","W umiarkowanym stopniu","W umiarkowanym stopniu","Ani tak, ani nie","Ani tak, ani nie","Ani tak, ani nie","Raczej się nie zgadzam","Raczej się nie zgadzam","Zdecydowanie się zgadzam","Raczej się nie zgadzam","Zdecydowanie się nie zgadzam","Ani tak, ani nie","Raczej się zgadzam","Kobieta","18–24","Wyższe (licencjat / inżynier / magister)","Wieś","Uczeń / Student","Nie, ulga „PIT 0” (do 26 lat)","Tak"
"2025/12/28 1:02:14 PM GMT+1","Tak","Zdecydowanie się zgadzam","Raczej się zgadzam","Zdecydowanie się nie zgadzam","3","3","1","1","Raczej się zgadzam","Zdecydowanie się nie zgadzam","Zdecydowanie się nie zgadzam","Raczej wolę dług publiczny","Raczej się zgadzam","Raczej się zgadzam","Zdecydowanie się zgadzam","W dużym stopniu","W bardzo dużym stopniu","W umiarkowanym stopniu","Zdecydowanie się zgadzam","Ani tak, ani nie","Raczej się nie zgadzam","Raczej się nie zgadzam","Raczej się zgadzam","Zdecydowanie się zgadzam","Zdecydowanie się nie zgadzam","Zdecydowanie się nie zgadzam","Zdecydowanie się zgadzam","Zdecydowanie się zgadzam","Kobieta","18–24","Średnie (liceum / technikum)","Miasto 20 000–99 999 mieszkańców","Uczeń / Student","Nie, ulga „PIT 0” (do 26 lat)","Tak"
"2025/12/28 10:49:24 PM GMT+1","Tak","Zdecydowanie się zgadzam","Zdecydowanie się zgadzam","Zdecydowanie się zgadzam","5","2","2","5","Zdecydowanie się zgadzam","Raczej się nie zgadzam","Zdecydowanie się nie zgadzam","Zdecydowanie wolę podwyżki podatków","Raczej się zgadzam","Raczej się zgadzam","Raczej się zgadzam","W bardzo dużym stopniu","W bardzo dużym stopniu","W dużym stopniu","Zdecydowanie się zgadzam","Ani tak, ani nie","Zdecydowanie się nie zgadzam","Zdecydowanie się nie zgadzam","Raczej się zgadzam","Raczej się zgadzam","Ani tak, ani nie","Zdecydowanie się zgadzam","Zdecydowanie się zgadzam","Raczej się zgadzam","Kobieta","18–24","Średnie (liceum / technikum)","Miasto 100 000–499 999 mieszkańców","Uczeń / Student","Nie, ulga „PIT 0” (do 26 lat)","Tak"
"2025/12/28 10:50:32 PM GMT+1","Tak","Zdecydowanie się zgadzam","Zdecydowanie się zgadzam","Raczej się zgadzam","5","2","2","1","Raczej się nie zgadzam","Ani tak, ani nie","Zdecydowanie się zgadzam","Zdecydowanie wolę dług publiczny","Zdecydowanie się nie zgadzam","Raczej się zgadzam","Raczej się zgadzam","W bardzo dużym stopniu","W dużym stopniu","Wcale","Zdecydowanie się nie zgadzam","Zdecydowanie się nie zgadzam","Zdecydowanie się zgadzam","Zdecydowanie się zgadzam","Raczej się zgadzam","Ani tak, ani nie","Raczej się nie zgadzam","Raczej się zgadzam","Zdecydowanie się zgadzam","Zdecydowanie się zgadzam","Mężczyzna","18–24","Średnie (liceum / technikum)","Miasto 500 000 i więcej mieszkańców (np. Warszawa)","Uczeń / Student","Nie, ulga „PIT 0” (do 26 lat)","Tak"
"2025/12/28 10:52:33 PM GMT+1","Tak","Zdecydowanie się zgadzam","Raczej się zgadzam","Raczej się zgadzam","1","3","3","4","Raczej się zgadzam","Raczej się zgadzam","Zdecydowanie się zgadzam","Zdecydowanie wolę dług publiczny","Zdecydowanie się nie zgadzam","Raczej się zgadzam","Zdecydowanie się nie zgadzam","W dużym stopniu","W dużym stopniu","W małym stopniu","Zdecydowanie się nie zgadzam","Raczej się nie zgadzam","Zdecydowanie się zgadzam","Zdecydowanie się zgadzam","Zdecydowanie się zgadzam","Raczej się nie zgadzam","Raczej się zgadzam","Raczej się zgadzam","Zdecydowanie się zgadzam","Raczej się zgadzam","Mężczyzna","18–24","Średnie (liceum / technikum)","Miasto 500 000 i więcej mieszkańców (np. Warszawa)","Uczeń / Student","Nie, ulga „PIT 0” (do 26 lat)","Tak"
